,CID,name,smiles,7.1 Drug Indication,8.1 Pharmacodynamics,8.2 MeSH Pharmacological Classification,"8.5 Absorption,Distribution and Excretion",8.6 Metabolism/Metabolites,8.7 Biological Half-Life
64,1900065,"5-hexanoyl-8-methoxy-4,4-dimethyl-4,5-dihydro-1H-[1,2]dithiolo[3,4-c]quinoline-1-thione",CCCCCC(=O)N1C2=C(C=C(C=C2)OC)C3=C(C1(C)C)SSC3=S,,,,,,
65,1900066,"8-methoxy-3-[(4-octoxyphenyl)methylideneamino]-5H-pyrimido[5,4-b]indol-4-one",CCCCCCCCOC1=CC=C(C=C1)C=NN2C=NC3=C(C2=O)NC4=C3C=C(C=C4)OC,,,,,,
66,1900067,"(4-{[4-(Dibutylamino)phenyl][(2-hydroxyethyl)amino]methylidene}cyclohexa-2,5-dien-1-ylidene)propanedinitrile",CCCCN(CCCC)C1=CC=C(C=C1)C(=C2C=CC(=C(C#N)C#N)C=C2)NCCO,,,,,,
67,1900068,"3-[2-(difluoromethoxy)phenyl]-6-(2,4-dimethylphenyl)-2H-[1,3]thiazolo[2,3-c][1,2,4]triazine",CC1=CC(=C(C=C1)C2=CSC3=NNC(=CN23)C4=CC=CC=C4OC(F)F)C,,,,,,
68,1900069,"8-butyl-3,3-dimethyl-6-[[(2R)-oxolan-2-yl]methylamino]-1,4-dihydropyrano[3,4-c]pyridin-7-ium-5-carbonitrile",CCCCC1=[NH+]C(=C(C2=C1COC(C2)(C)C)C#N)NC[C@H]3CCCO3,,,,,,
69,1900070,"8-butyl-3,3-dimethyl-6-[[(2R)-oxolan-2-yl]methylamino]-1,4-dihydropyrano[3,4-c]pyridine-5-carbonitrile",CCCCC1=NC(=C(C2=C1COC(C2)(C)C)C#N)NC[C@H]3CCCO3,,,,,,
70,1900071,"8-butyl-3,3-dimethyl-6-[[(2S)-oxolan-2-yl]methylamino]-1,4-dihydropyrano[3,4-c]pyridin-7-ium-5-carbonitrile",CCCCC1=[NH+]C(=C(C2=C1COC(C2)(C)C)C#N)NC[C@@H]3CCCO3,,,,,,
71,1900072,"8-butyl-3,3-dimethyl-6-[[(2S)-oxolan-2-yl]methylamino]-1,4-dihydropyrano[3,4-c]pyridine-5-carbonitrile",CCCCC1=NC(=C(C2=C1COC(C2)(C)C)C#N)NC[C@@H]3CCCO3,,,,,,
72,1900073,"N-cyclopentyl-1-ethyl-6-fluoro-7-[4-(furan-2-ylcarbonyl)piperazin-1-yl]-4-oxo-1,4-dihydroquinoline-3-carboxamide",CCN1C=C(C(=O)C2=CC(=C(C=C21)N3CCN(CC3)C(=O)C4=CC=CO4)F)C(=O)NC5CCCC5,,,,,,
73,1900074,N-[[3-[(4-chloro-5-methyl-2-propan-2-ylphenoxy)methyl]-4-methoxyphenyl]methylideneamino]pyridine-3-carboxamide,CC1=CC(=C(C=C1Cl)C(C)C)OCC2=C(C=CC(=C2)C=NNC(=O)C3=CN=CC=C3)OC,,,,,,
